,tweets,id,length,date,source,likes,retweets,sentiment,pnn
0,"The projection — a guess, the CEO said, not a target — marks a major pivot by the world's biggest social media comp… https://t.co/4NT0kUGymG",1263527483539939329,140,2020-05-21 17:50:01,SocialFlow,0,0,1,Positive
1,Some Salvadorans praise President Nayib Bukele for taking decisive action that may have saved his small Central Ame… https://t.co/9DBQJEePiT,1263526167992205313,140,2020-05-21 17:44:48,SocialFlow,62,22,-1,Negative
2,"Colorful bleaching has been observed since 2010 in coral reefs across the globe, but the mechanism and reasoning be… https://t.co/lVE6Xna1mK",1263519947822637063,140,2020-05-21 17:20:05,SocialFlow,271,97,1,Positive
3,"Washington, DC, Mayor Muriel Bowser says the District can begin stage one of its reopening on Friday, May 29, if th… https://t.co/pItzea89N6",1263517436311146496,140,2020-05-21 17:10:06,SocialFlow,93,26,0,Nuetral
4,.@FareedZakaria investigates China and Covid-19. Discover what he learned in the new CNN Special Report – China’s D… https://t.co/24GJW9PBmk,1263514975924035590,140,2020-05-21 17:00:19,SocialFlow,190,72,1,Positive
5,"The Senate has confirmed GOP Rep. John Ratcliffe as President Trump's top intelligence official, tossing him into a… https://t.co/uvHZpA65HZ",1263512401363820544,140,2020-05-21 16:50:06,SocialFlow,149,40,1,Positive
6,Almost all of over a dozen entities that forecast the seasonal tropical outlook call for an above-average number of… https://t.co/SID5YN4KtN,1263509897368539136,140,2020-05-21 16:40:09,SocialFlow,218,84,-1,Negative
7,"Wilson Roosevelt Jerman, a former White House butler who worked under 11 US Presidents, has died after contracting… https://t.co/gX6cH76GKF",1263509753109643266,139,2020-05-21 16:39:34,SocialFlow,729,204,0,Nuetral
8,Actress Lori Loughlin and fashion designer Mossimo Giannulli have agreed to plead guilty to conspiracy charges in c… https://t.co/Vx499mEf90,1263507375417430017,140,2020-05-21 16:30:07,SocialFlow,198,49,-1,Negative
9,"Another 2.4 million Americans filed for first-time benefits last week, bringing the total to 38.6 million since mid… https://t.co/xs1kjEg2lT",1263504865591992320,140,2020-05-21 16:20:09,SocialFlow,324,129,1,Positive
10,A President who ought to be unifying the country seems to be using his office to indulge his own need for attention… https://t.co/h3DDdV0g3W,1263502328700850176,140,2020-05-21 16:10:04,SocialFlow,668,199,1,Positive
11,New Zealand's Jacinda Ardern has floated the idea of a four-day working week to help the economy in the wake of the… https://t.co/ybmrEipcuK,1263499823103303681,140,2020-05-21 16:00:07,SocialFlow,263,46,1,Positive
12,"If the US began social distancing a week earlier than it did, it could've prevented at least 36,000 coronavirus dea… https://t.co/UDlgK8Dz4u",1263497837523992578,140,2020-05-21 15:52:13,SocialFlow,1018,435,-1,Negative
13,"So far, President Trump has resisted covering his face in public or being seen wearing a mask, despite the federal… https://t.co/SKq6S72qEG",1263494964660576256,139,2020-05-21 15:40:48,SocialFlow,826,188,1,Positive
14,The Trump administration is preparing to withdraw from a major arms treaty designed to reduce the risk of military… https://t.co/M4WDMAfOUw,1263492257686138888,139,2020-05-21 15:30:03,SocialFlow,282,108,-1,Negative
15,China's rubberstamp parliament has announced that a new national security law in Hong Kong will be on the agenda at… https://t.co/DjHrFXC59n,1263489733411442693,140,2020-05-21 15:20:01,SocialFlow,365,254,1,Positive
16,Green snow created by blooming algae in the Antarctic Peninsula is likely to spread as temperatures increase as a r… https://t.co/8Z6hFVA0Fm,1263487232339476480,140,2020-05-21 15:10:05,SocialFlow,248,99,-1,Negative
17,California has quickly repaid a nearly $1.4 billion loan from the federal government used to fund a massive increas… https://t.co/er0IkaKj1X,1263484724187672579,140,2020-05-21 15:00:07,SocialFlow,354,99,1,Positive
18,"""Trump's 'it will go away' statements about Covid-19 have baffled people who say he's downplaying the threat of the… https://t.co/B6EmqVgCYd",1263482208700059657,140,2020-05-21 14:50:07,SocialFlow,209,80,0,Nuetral
19,"RT @CNNnewsroom: President Trump is threatening to withhold federal funding from Nevada over mail-in voting.

“It's a piece of political ab…",1263480263109234694,140,2020-05-21 14:42:23,TweetDeck,0,122,0,Nuetral
20,"The resolution in Franklin County, which encompasses Ohio's capital of Columbus, references over 100 studies linkin… https://t.co/Tcqtm8DVmE",1263479690012110848,140,2020-05-21 14:40:07,SocialFlow,233,78,0,Nuetral
21,US airline industry group Airlines for America says 8.5% of flights are more than 70% full. The group maintains tha… https://t.co/5UJNgn1LVq,1263477169302446084,140,2020-05-21 14:30:06,SocialFlow,113,32,1,Positive
22,"When ""Pac-Man"" debuted 40 years ago, no one could have predicted it would become the most successful arcade game of… https://t.co/2biC9aYXsE",1263474628132868096,140,2020-05-21 14:20:00,Twitter Media Studio,850,275,1,Positive
23,"Indian, Indonesian, Ethiopian and Nigerian cooks could teach novices a thing or two, since they've had meat-free ea… https://t.co/YxcBeATjwK",1263472145449000967,140,2020-05-21 14:10:08,SocialFlow,669,147,1,Positive
24,The Louisville Metro Police Department will require all sworn officers to wear body cameras and will change how the… https://t.co/XKFWtdNdpn,1263470239737577472,140,2020-05-21 14:02:33,SocialFlow,457,150,0,Nuetral
25,"The company said it expects it lost as much as $1.1 billion between February and May, blaming its losses on lockdow… https://t.co/hbtpecGNxg",1263467362122113025,140,2020-05-21 13:51:07,SocialFlow,204,65,1,Positive
26,"""In my brief, manic campaign to scrub as much of my personal data as possible and wipe my digital slate clean, I le… https://t.co/2n3UNGWBlt",1263464591251714052,140,2020-05-21 13:40:07,SocialFlow,226,78,1,Positive
27,JUST IN: Actress Lori Loughlin and fashion designer Mossimo Giannulli have agreed to plead guilty to conspiracy cha… https://t.co/97a9eMpkRF,1263461254003392512,140,2020-05-21 13:26:51,SocialFlow,845,241,-1,Negative
28,RT @cnni: British health care workers are taking part in a global clinical trial to test the effectiveness of anti-malarial drugs chloroqui…,1263458844103016448,140,2020-05-21 13:17:17,TweetDeck,0,92,0,Nuetral
29,"A shooter at Naval Air Station Corpus Christi in Texas has been ""neutralized,"" the US Navy said in a statement. One… https://t.co/wHr8cvcdif",1263458666184732672,140,2020-05-21 13:16:34,SocialFlow,418,205,0,Nuetral
30,"Another 2.4 million Americans filed for first-time benefits last week, bringing the total to 38.6 million since mid… https://t.co/IYZua7p8x9",1263454513681379329,140,2020-05-21 13:00:04,Twitter Media Studio,135,68,1,Positive
31,"JUST IN: Another 2.4 million Americans filed for first-time benefits last week, bringing the total to 38.6 million… https://t.co/ZuYXYhGXUk",1263451988567699457,139,2020-05-21 12:50:02,SocialFlow,462,246,1,Positive
32,This family discovered two bags containing nearly $1 million in cash while on an afternoon drive… https://t.co/dy8mJNIo2i,1263450762262261761,121,2020-05-21 12:45:10,SocialFlow,508,111,1,Positive
33,"All newborns delivered to women with Covid-19 infections, confirmed or suspected, should be tested, the US Centers… https://t.co/NoCuytC7P6",1263446985723518980,139,2020-05-21 12:30:09,SocialFlow,316,88,1,Positive
34,"Here's everything you need to know about the coronavirus pandemic today: https://t.co/e0RO4CX9A5

📩 Sign up to get… https://t.co/X88SeiGESM",1263443197428195328,139,2020-05-21 12:15:06,SocialFlow,133,37,0,Nuetral
35,"RT @NewDay: Biologist @ErinBromage shares tips on how to celebrate safely this holiday weekend:

- No shared chips, bring your own food

-…",1263442869764919296,139,2020-05-21 12:13:48,TweetDeck,0,43,1,Positive
36,"In less than 12 hours, about 11,000 people evacuated Midland, Michigan, and its surrounding areas after two dams fa… https://t.co/bSxEYEOTje",1263439430406324224,140,2020-05-21 12:00:08,SocialFlow,234,102,-1,Negative
37,This Tokyo pub has a machine that sprays customers with disinfectant as they enter https://t.co/9MObCX39mA https://t.co/9NuitnD2Nc,1263435640206696448,130,2020-05-21 11:45:04,SocialFlow,729,167,0,Nuetral
38,"Disney Springs — Walt Disney World Resort's shopping, dining and entertainment complex — has started a phased reope… https://t.co/6BF1MJHK6J",1263431873889476612,140,2020-05-21 11:30:06,SocialFlow,257,58,-1,Negative
39,"As productions began to shutter in the second week of March, the Food Network was quick to realize the need for pro… https://t.co/7hMUEp5eUO",1263428092200202243,140,2020-05-21 11:15:05,SocialFlow,310,54,1,Positive
40,"More than 5 million cases of Covid-19 have now been recorded globally, according to data compiled by Johns Hopkins… https://t.co/ANSr58i7wO",1263424351136886786,139,2020-05-21 11:00:13,SocialFlow,210,88,1,Positive
41,"South Korean football team FC Seoul has said it has been handed a $81,300 fine after being accused of placing sex d… https://t.co/xhoxAn13W2",1263420558596886529,140,2020-05-21 10:45:09,SocialFlow,384,112,1,Positive
42,"The coronavirus recession will cause Trump to suffer a ""historic defeat"" in November, a national election model rel… https://t.co/oufPb1bfZA",1263418699798794242,140,2020-05-21 10:37:45,SocialFlow,1839,425,0,Nuetral
43,"Virginia, Texas, Georgia, and Vermont say they've been adding two numbers — viral test results and antibody test re… https://t.co/fA8eRq0Pha",1263414243996708864,140,2020-05-21 10:20:03,SocialFlow,164,67,0,Nuetral
44,A man in Singapore was sentenced to death for drug trafficking last week via a Zoom call as the country's courts ho… https://t.co/Nrck6NqKhT,1263408968774365185,140,2020-05-21 09:59:05,SocialFlow,172,56,0,Nuetral
45,A man in Singapore was sentenced to death for drug trafficking last week via a Zoom call as the country's courts ho… https://t.co/c8cfdMpgZt,1263408669674352640,140,2020-05-21 09:57:54,SocialFlow,225,55,0,Nuetral
46,"Two days after the Yellowstone National Park partially reopened following coronavirus restrictions, a woman was inj… https://t.co/1nkN3qB8RG",1263400402302746625,140,2020-05-21 09:25:03,SocialFlow,342,80,-1,Negative
47,Here's how Covid-19 could change the way we fly https://t.co/0ckU5hcJcl https://t.co/cHFEWWvZ0b,1263397916900818944,95,2020-05-21 09:15:10,SocialFlow,322,103,1,Positive
48,A suspect is in custody after three people were shot Wednesday night at the Westgate Entertainment District in Glen… https://t.co/GoBo0Vw5yP,1263391624941502465,140,2020-05-21 08:50:10,SocialFlow,206,73,0,Nuetral
49,New Zealand's Jacinda Ardern has floated the idea of a four-day working week to help the economy in the wake of the… https://t.co/wHKyswmG62,1263387044480458753,140,2020-05-21 08:31:58,SocialFlow,2423,401,1,Positive
50,"""It was as if a tsunami overwhelmed us, especially the oldest people.""

A whole generation was overwhelmed by Covid… https://t.co/7FVwBb1KJE",1263379934560628736,140,2020-05-21 08:03:43,SocialFlow,239,91,1,Positive
51,"Thousands of people have been left homeless in the wake of Cyclone Amphan, which slammed into India's eastern coast… https://t.co/vdjDcTs9Bj",1263376492660219905,140,2020-05-21 07:50:02,SocialFlow,206,81,0,Nuetral
52,"At least 5,000,038 cases of Covid-19 have now been recorded globally, according to data compiled by Johns Hopkins U… https://t.co/wHggId5GZi",1263370217209593856,140,2020-05-21 07:25:06,SocialFlow,337,136,-1,Negative
53,The receptors that let the coronavirus into our cells appear to be less common in children's noses -- which may be… https://t.co/Rjb4CTWAKw,1263366445167194112,139,2020-05-21 07:10:07,SocialFlow,409,187,-1,Negative
54,A President who ought to be unifying the country seems to be using his office to indulge his own need for attention… https://t.co/Nfn174QFnD,1263362669500866562,140,2020-05-21 06:55:07,SocialFlow,1527,374,1,Positive
55,Former Vice President Joe Biden and the Democratic National Committee came close to matching the fundraising perfor… https://t.co/fDcDzQtqwD,1263358888654618624,140,2020-05-21 06:40:05,SocialFlow,182,67,0,Nuetral
56,A suspect is in custody after three people were shot Wednesday night at the Westgate Entertainment District in Glen… https://t.co/6WpHUBCvIj,1263357920131125248,140,2020-05-21 06:36:14,SocialFlow,278,136,0,Nuetral
57,TikTok's hiring of Disney veteran Kevin Mayer may not be enough to win over the growing number of US lawmakers who… https://t.co/ZpU156YLfd,1263355102611550208,139,2020-05-21 06:25:03,SocialFlow,297,75,1,Positive
58,"""My dream is to meet every kid in the entire world and give them art."" This girl has sent over 1,500 children in ho… https://t.co/rs12xrPoVW",1263351365792825344,140,2020-05-21 06:10:12,SocialFlow,4981,811,0,Nuetral
59,Federal regulators have warned for more than 20 years of inadequate spillways at a Michigan dam that was breached T… https://t.co/CyTueYQGvo,1263349042576318464,140,2020-05-21 06:00:58,SocialFlow,274,114,1,Positive
60,"The USS Theodore Roosevelt has returned to sea, after being docked in Guam for weeks due to a coronavirus outbreak… https://t.co/P33sI92Szq",1263346292509609984,139,2020-05-21 05:50:02,SocialFlow,245,65,-1,Negative
61,"The United States recorded 23,285 new cases of coronavirus and 1,518 related deaths on Wednesday, according to John… https://t.co/6ocdnN1EXd",1263342539949715456,140,2020-05-21 05:35:07,SocialFlow,450,230,1,Positive
62,"If the United States had implemented social distancing policies just a week sooner, it could have prevented more th… https://t.co/gcoNaSHxw5",1263338740149338114,140,2020-05-21 05:20:02,SocialFlow,9178,3390,1,Positive
63,"North Carolina Gov. Roy Cooper said dine-in eating, hair and nail salons, barbershops, churches and pools will be o… https://t.co/5LpchA12SZ",1263335407401476096,140,2020-05-21 05:06:47,SocialFlow,262,88,0,Nuetral
64,Donald Trump in April 2009 said the Obama administration was handling the ​early days of the 2009-2010 H1N1 outbrea… https://t.co/k9MqrrIX7G,1263333101842956288,140,2020-05-21 04:57:37,SocialFlow,631,197,1,Positive
65,The agency in charge of public transit in New York City announced a pilot program using ultraviolet light lamps in… https://t.co/nooioDCHSP,1263329929820766211,139,2020-05-21 04:45:01,SocialFlow,638,178,1,Positive
